name,address,city,state,postalCode,phone,website,rating,verification_status,catio_types,materials,features
Portland Catios,Happy Valley,Portland,OR,97086,503-555-0100,https://portlandcatios.com,5.0,high,"window_box,patio,standalone,tunnel","powder_coated_aluminum,welded","custom_design,weatherproof,multi_level,professional_install"
Catio Spaces,1234 Cat Haven Way,Seattle,WA,98101,206-555-0200,https://catiospaces.com,4.9,high,"window_box,patio,standalone,tunnel,custom","cedar,aluminum,pet_screen","diy_kits,professional_install,custom_design,nationwide_shipping"
Cats on Deck,5678 Whisker Lane,Portland,OR,97201,503-555-0300,https://catsondeck.com,4.8,high,"patio,standalone","cedar,redwood","weatherproof,multi_level,shelving"
Custom Catios NW,910 Purrfect Ave,Seattle,WA,98102,206-555-0400,https://customcatiosnw.com,4.7,high,"window_box,patio,standalone","aluminum,cedar","custom_design,warranty_10yr"
Pacific Cat Enclosures,2345 Meow Street,Vancouver,BC,V6B2W2,604-555-0500,https://pacificcatenclosures.com,4.6,high,"patio,standalone,tunnel","cedar,galvanized_steel","weatherproof,modular"
Evergreen Catios,3456 Feline Drive,Eugene,OR,97401,541-555-0600,https://evergreencatios.com,4.5,high,"window_box,patio","cedar,pet_screen","diy_kits,affordable"
Spokane Pet Structures,7890 Kitty Court,Spokane,WA,99201,509-555-0700,https://spokanepetstructures.com,4.4,high,"patio,standalone","wood,metal","custom_design,large_catios"
Boise Cat Havens,1122 Tabby Trail,Boise,ID,83702,208-555-0800,https://boisecathavens.com,4.3,high,"window_box,patio","cedar,aluminum","budget_friendly,diy_kits"
Northwest Catio Co,3344 Persian Place,Seattle,WA,98103,206-555-0900,https://nwcatioco.com,4.8,high,"patio,standalone,tunnel","powder_coated_aluminum","premium,custom_design,lifetime_warranty"
Rain City Catios,5566 Siamese Street,Seattle,WA,98104,206-555-1000,https://raincitycatios.com,4.6,high,"window_box,patio","cedar,pet_screen","weatherproof,seattle_specialist"
Rose City Cat Enclosures,7788 Maine Coon Ave,Portland,OR,97202,503-555-1100,https://rosecitycatios.com,4.5,high,"patio,standalone","redwood,cedar","artisan,handcrafted"
Cascade Catios,9900 Ragdoll Road,Portland,OR,97203,503-555-1200,https://cascadecatios.com,4.7,high,"window_box,patio,standalone","aluminum,cedar","modular,expandable"
Willamette Valley Catios,1234 Bengal Blvd,Eugene,OR,97402,541-555-1300,https://wvcatios.com,4.4,high,"patio,standalone","cedar","affordable,family_owned"
Puget Sound Catios,2345 Calico Court,Tacoma,WA,98401,253-555-1400,https://pugetsoundcatios.com,4.5,high,"window_box,patio,tunnel","aluminum,pet_screen","coastal_weather,rust_resistant"
Olympic Peninsula Catios,3456 Tabby Trail,Port Angeles,WA,98362,360-555-1500,https://olympiccatios.com,4.3,high,"patio,standalone","cedar,metal","rural_specialist,large_properties"
Vancouver Island Catios,4567 Whisker Way,Victoria,BC,V8W1N3,250-555-1600,https://vicatios.com,4.6,high,"window_box,patio","cedar,aluminum","island_shipping,weatherproof"
Idaho Cat Structures,5678 Purrfect Path,Boise,ID,83703,208-555-1700,https://idahocatstructures.com,4.2,high,"patio,standalone","wood,metal","budget_friendly,diy_support"
Mountain West Catios,6789 Feline Forest,Boise,ID,83704,208-555-1800,https://mountainwestcatios.com,4.4,high,"standalone,tunnel","cedar,galvanized_steel","high_altitude,snow_rated"
Columbia River Catios,7890 Kitten Korner,Vancouver,WA,98660,360-555-1900,https://columbiarivercatios.com,4.5,high,"window_box,patio","aluminum,pet_screen","gorge_area,wind_resistant"
Emerald City Cat Enclosures,8901 Persian Plaza,Seattle,WA,98105,206-555-2000,https://emeraldcitycatios.com,4.7,high,"patio,standalone,custom","powder_coated_aluminum,cedar","luxury,custom_design,smart_features"
Tri-Cities Catios,9012 Siamese Square,Richland,WA,99352,509-555-2100,https://tricitiescatios.com,4.3,high,"patio,standalone","metal,wood","desert_climate,uv_resistant"
Bend Cat Enclosures,1230 Bengal Boulevard,Bend,OR,97701,541-555-2200,https://bendcatios.com,4.5,high,"window_box,patio,standalone","cedar,aluminum","high_desert,four_season"
Salem Catio Works,2340 Calico Circle,Salem,OR,97301,503-555-2300,https://salemcatioworks.com,4.4,high,"patio,standalone","cedar,redwood","capital_city,government_approved"
Bellingham Cat Havens,3450 Tabby Terrace,Bellingham,WA,98225,360-555-2400,https://bellinghamcatios.com,4.6,high,"window_box,patio,tunnel","cedar,pet_screen","college_town,rental_friendly"
Olympia Cat Structures,4560 Maine Coon Mall,Olympia,WA,98501,360-555-2500,https://olympiacatios.com,4.5,high,"patio,standalone","aluminum,cedar","state_capital,permit_assistance"
